src_ip,total_packets,unique_dest_ips,avg_packets_per_min,packets_to_same_dest,packet_categ
192.168.0.1,36,31,0.6,2,0
192.168.0.10,43,40,0.7166666666666667,2,0
192.168.0.100,1043,40,17.383333333333333,1000,1
192.168.0.101,42,40,0.7,2,0
192.168.0.102,39,34,0.65,2,0
192.168.0.103,46,42,0.7666666666666667,3,0
192.168.0.104,40,38,0.6666666666666666,2,0
192.168.0.105,40,37,0.6666666666666666,2,0
192.168.0.106,38,35,0.6333333333333333,2,0
192.168.0.107,42,42,0.7,1,0
192.168.0.108,40,36,0.6666666666666666,2,0
192.168.0.109,42,34,0.7,3,0
192.168.0.11,41,39,0.6833333333333333,2,0
192.168.0.110,40,37,0.6666666666666666,3,0
192.168.0.111,39,34,0.65,3,0
192.168.0.112,53,47,0.8833333333333333,2,0
192.168.0.113,33,30,0.55,2,0
192.168.0.114,41,40,0.6833333333333333,2,0
192.168.0.115,40,38,0.6666666666666666,2,0
192.168.0.116,45,39,0.75,2,0
192.168.0.117,35,34,0.5833333333333334,2,0
192.168.0.118,33,32,0.55,2,0
192.168.0.119,37,35,0.6166666666666667,2,0
192.168.0.12,43,39,0.7166666666666667,2,0
192.168.0.120,39,35,0.65,2,0
192.168.0.121,35,34,0.5833333333333334,2,0
192.168.0.122,29,28,0.48333333333333334,2,0
192.168.0.123,36,35,0.6,2,0
192.168.0.124,49,45,0.8166666666666667,2,0
192.168.0.125,40,39,0.6666666666666666,2,0
192.168.0.126,39,36,0.65,2,0
192.168.0.127,28,27,0.4666666666666667,2,0
192.168.0.128,44,39,0.7333333333333333,2,0
192.168.0.129,36,35,0.6,2,0
192.168.0.13,41,39,0.6833333333333333,2,0
192.168.0.130,48,45,0.8,2,0
192.168.0.131,37,33,0.6166666666666667,2,0
192.168.0.132,41,39,0.6833333333333333,2,0
192.168.0.133,43,40,0.7166666666666667,2,0
192.168.0.134,39,35,0.65,2,0
192.168.0.135,42,41,0.7,2,0
192.168.0.136,54,53,0.9,2,0
192.168.0.137,36,33,0.6,2,0
192.168.0.138,41,38,0.6833333333333333,2,0
192.168.0.139,56,51,0.9333333333333333,2,0
192.168.0.14,41,36,0.6833333333333333,3,0
192.168.0.140,52,48,0.8666666666666667,2,0
192.168.0.141,41,37,0.6833333333333333,2,0
192.168.0.142,33,30,0.55,2,0
192.168.0.143,48,47,0.8,2,0
192.168.0.144,42,41,0.7,2,0
192.168.0.145,44,40,0.7333333333333333,2,0
192.168.0.146,38,36,0.6333333333333333,2,0
192.168.0.147,45,42,0.75,2,0
192.168.0.148,31,30,0.5166666666666667,2,0
192.168.0.149,28,26,0.4666666666666667,2,0
192.168.0.15,31,28,0.5166666666666667,2,0
192.168.0.150,48,40,0.8,3,0
192.168.0.151,37,36,0.6166666666666667,2,0
192.168.0.152,29,28,0.48333333333333334,2,0
192.168.0.153,36,35,0.6,2,0
192.168.0.154,35,32,0.5833333333333334,2,0
192.168.0.155,33,31,0.55,2,0
192.168.0.156,41,39,0.6833333333333333,2,0
192.168.0.157,31,30,0.5166666666666667,2,0
192.168.0.158,34,34,0.5666666666666667,1,0
192.168.0.159,34,32,0.5666666666666667,2,0
192.168.0.16,44,39,0.7333333333333333,2,0
192.168.0.160,43,41,0.7166666666666667,2,0
192.168.0.161,36,35,0.6,2,0
192.168.0.162,44,41,0.7333333333333333,2,0
192.168.0.163,39,35,0.65,2,0
192.168.0.164,41,37,0.6833333333333333,2,0
192.168.0.165,40,36,0.6666666666666666,2,0
192.168.0.166,33,33,0.55,1,0
192.168.0.167,40,39,0.6666666666666666,2,0
192.168.0.168,29,28,0.48333333333333334,2,0
192.168.0.169,35,29,0.5833333333333334,3,0
192.168.0.17,45,45,0.75,1,0
192.168.0.170,34,31,0.5666666666666667,2,0
192.168.0.171,36,31,0.6,2,0
192.168.0.172,35,33,0.5833333333333334,2,0
192.168.0.173,46,41,0.7666666666666667,3,0
192.168.0.174,39,37,0.65,2,0
192.168.0.175,30,27,0.5,2,0
192.168.0.176,43,42,0.7166666666666667,2,0
192.168.0.177,30,28,0.5,2,0
192.168.0.178,42,37,0.7,3,0
192.168.0.179,47,44,0.7833333333333333,2,0
192.168.0.18,50,44,0.8333333333333334,3,0
192.168.0.180,47,42,0.7833333333333333,3,0
192.168.0.181,36,35,0.6,2,0
192.168.0.182,47,43,0.7833333333333333,2,0
192.168.0.183,33,32,0.55,2,0
192.168.0.184,30,28,0.5,2,0
192.168.0.185,32,31,0.5333333333333333,2,0
192.168.0.186,41,37,0.6833333333333333,3,0
192.168.0.187,43,41,0.7166666666666667,2,0
192.168.0.188,32,29,0.5333333333333333,2,0
192.168.0.189,46,43,0.7666666666666667,2,0
192.168.0.19,40,35,0.6666666666666666,3,0
192.168.0.190,33,31,0.55,2,0
192.168.0.191,45,41,0.75,3,0
192.168.0.192,26,25,0.43333333333333335,2,0
192.168.0.193,27,26,0.45,2,0
192.168.0.194,38,34,0.6333333333333333,3,0
192.168.0.195,34,33,0.5666666666666667,2,0
192.168.0.196,40,38,0.6666666666666666,2,0
192.168.0.197,40,38,0.6666666666666666,2,0
192.168.0.198,31,31,0.5166666666666667,1,0
192.168.0.199,40,36,0.6666666666666666,2,0
192.168.0.2,36,33,0.6,2,0
192.168.0.20,28,27,0.4666666666666667,2,0
192.168.0.200,36,33,0.6,2,0
192.168.0.201,35,34,0.5833333333333334,2,0
192.168.0.202,42,37,0.7,3,0
192.168.0.203,42,37,0.7,2,0
192.168.0.204,30,29,0.5,2,0
192.168.0.205,36,35,0.6,2,0
192.168.0.206,42,40,0.7,2,0
192.168.0.207,45,44,0.75,2,0
192.168.0.208,30,30,0.5,1,0
192.168.0.209,48,42,0.8,2,0
192.168.0.21,34,31,0.5666666666666667,2,0
192.168.0.210,40,34,0.6666666666666666,2,0
192.168.0.211,24,24,0.4,1,0
192.168.0.212,35,33,0.5833333333333334,2,0
192.168.0.213,50,43,0.8333333333333334,3,0
192.168.0.214,42,40,0.7,2,0
192.168.0.215,24,24,0.4,1,0
192.168.0.216,48,42,0.8,3,0
192.168.0.217,37,37,0.6166666666666667,1,0
192.168.0.218,35,34,0.5833333333333334,2,0
